City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
348,Pochutla,MX,15.74,-96.47,75.99,89,63,3.2,broken clouds
349,Galena Park,US,29.73,-95.23,62.6,59,20,4.7,few clouds
350,Nakusp,CA,50.25,-117.8,32.0,72,58,2.24,broken clouds
351,Srednekolymsk,RU,67.45,153.68,-6.99,90,10,9.15,clear sky
352,Masindi,UG,1.67,31.71,75.56,67,92,5.88,overcast clouds
353,Puerto Madryn,AR,-42.77,-65.04,73.8,24,98,23.8,overcast clouds
354,Nyurba,RU,63.28,118.33,7.3,86,50,9.24,scattered clouds
355,Nenagh,IE,52.86,-8.2,46.99,87,82,10.0,light rain
356,General Roca,AR,-39.03,-67.58,66.2,48,0,16.73,clear sky
357,Broken Hill,AU,-31.95,141.43,86.0,20,0,5.82,clear sky
358,Changping,CN,40.22,116.22,55.4,9,0,15.66,clear sky
359,Northam,GB,51.03,-4.22,53.01,91,74,14.0,broken clouds
360,Egvekinot,RU,66.32,-179.17,11.03,84,66,1.28,broken clouds
361,Taoudenni,ML,22.68,-3.98,72.61,21,100,11.81,overcast clouds
